City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,Landfill Location (Lat),Landfill Location (Long),Landfill Capacity (Tons),Year
Nagpur,E-Waste,37.07,66.85,20817.06,6,Landfill,3032.1,7,Central Landfill,22.775146,72.591474,265756.97,2023
Bhopal,E-Waste,11.59,52.34,15134.39,4,Incineration,4328.69,4,East Zone Dump,23.00863,72.99214,29628.97,2020
Pune,Hazardous,17.23,50.99,7995.06,8,Recycling,3722.65,11,West Side Facility,18.802741,73.047733,239481.79,2019
Delhi,E-Waste,16.25,23.85,19565.27,5,Landfill,4117.41,2,North Point Landfill,28.653139,76.839979,34311.04,2023
Kanpur,Organic,21.9,56.33,18390.36,9,Incineration,1065.0,9,Central Landfill,23.349359,72.596136,389869.59,2021
Indore,Organic,9.9,68.47,6626.21,8,Recycling,1458.75,11,East Zone Dump,23.23855,72.777646,315117.88,2023
Kanpur,Hazardous,20.57,51.93,24762.61,10,Incineration,2598.63,16,South City Dump,22.720991,72.236285,127594.79,2020
Surat,Construction,18.4,71.09,18043.18,8,Incineration,2037.56,8,West Side Facility,23.239621,72.927532,184816.67,2019
Thane,Plastic,13.1,35.25,19179.15,4,Recycling,2041.31,4,East Zone Dump,18.863945,72.87052,156971.61,2022
Patna,E-Waste,6.14,69.04,15305.97,9,Composting,2191.73,10,Central Landfill,23.349051,72.872381,61182.71,2019
Surat,Hazardous,16.34,30.57,14844.58,7,Composting,4057.21,11,Central Landfill,23.304551,72.311471,80711.51,2021
Surat,Hazardous,7.14,54.03,3776.83,9,Incineration,2599.36,10,North Point Landfill,22.607188,72.538093,246244.73,2019
Ahmedabad,Construction,34.22,78.41,21181.81,8,Incineration,1943.23,6,Central Landfill,22.683719,72.72781,485863.94,2023
Ahmedabad,Plastic,15.39,46.63,14492.53,7,Composting,1647.09,8,Metro Waste Site,22.777836,72.177274,183899.86,2021
Indore,Plastic,9.75,53.65,10916.14,10,Landfill,862.88,15,East Zone Dump,22.742589,72.589676,357956.24,2019
Jaipur,Construction,4.41,76.43,3297.5,8,Landfill,2027.82,13,Central Landfill,23.437561,72.322569,423664.04,2020
Patna,Organic,3.06,61.67,12616.49,9,Composting,1652.29,11,North Point Landfill,22.642888,73.00993,98779.81,2021
Patna,Construction,11.86,46.63,15946.08,5,Recycling,2515.06,4,South City Dump,22.915604,72.171646,18130.32,2022
Chennai,Construction,16.74,56.1,16881.25,4,Composting,2824.22,3,South City Dump,13.509616,79.984398,215802.0,2021
Delhi,E-Waste,2.04,38.03,1232.49,3,Composting,4308.73,4,East Zone Dump,28.913539,76.873992,453079.21,2022
Ahmedabad,E-Waste,1.0,55.86,9993.33,8,Incineration,2180.48,3,Central Landfill,23.148957,72.358727,147075.52,2023
Kanpur,Plastic,1.0,31.93,8967.96,7,Incineration,1397.36,7,North Point Landfill,22.790674,72.432475,210143.23,2020
Chennai,Construction,21.26,68.48,17312.73,5,Recycling,2211.85,2,Central Landfill,13.230805,80.645818,397355.05,2023
Mumbai,Plastic,1.0,29.42,4386.58,4,Recycling,2824.38,1,West Side Facility,19.565756,72.407721,227818.84,2020
Pune,Plastic,28.8,42.59,13110.86,4,Recycling,2077.09,4,South City Dump,19.140232,73.228275,108748.91,2023
Pune,Organic,44.2,50.72,23426.39,8,Recycling,1196.9,9,West Side Facility,19.170242,72.98085,344440.91,2023
Mumbai,E-Waste,9.86,51.16,14808.62,4,Recycling,4145.59,2,East Zone Dump,18.706974,72.983697,426228.74,2023
Surat,Organic,1.0,45.0,2079.92,9,Landfill,1708.07,10,Central Landfill,23.328026,72.469284,404929.66,2020
Mumbai,E-Waste,16.6,36.35,15208.4,4,Incineration,3459.42,4,East Zone Dump,19.10147,73.075533,451129.41,2019
Hyderabad,E-Waste,40.44,16.91,20012.59,1,Recycling,5192.14,1,Central Landfill,17.809287,78.312523,72609.58,2022
Visakhapatnam,Plastic,17.32,14.27,11616.8,6,Landfill,1886.4,3,Metro Waste Site,22.845227,72.625757,82626.56,2022
Thane,E-Waste,9.83,68.34,3210.37,8,Landfill,2797.3,8,South City Dump,19.405723,73.354494,208315.28,2022
Visakhapatnam,Organic,1.0,28.99,3103.6,3,Landfill,2363.67,6,South City Dump,23.095143,72.328143,404006.88,2023
Jaipur,Construction,7.87,43.71,11222.51,3,Landfill,2598.57,3,Metro Waste Site,23.48598,72.179445,244460.62,2019
Bhopal,Construction,15.37,87.9,15053.53,9,Landfill,1891.16,10,North Point Landfill,23.163466,72.537582,103068.71,2022
Thane,Plastic,35.69,17.32,17841.72,3,Incineration,2353.33,4,Central Landfill,19.332254,72.831884,212017.07,2023
Kolkata,Plastic,43.34,31.11,23433.52,7,Incineration,1557.63,2,East Zone Dump,22.571903,87.970237,65928.58,2023
Patna,E-Waste,53.37,67.11,23585.16,8,Incineration,2964.45,7,North Point Landfill,22.784971,72.596658,64492.29,2022
Visakhapatnam,Hazardous,9.48,9.47,21836.06,1,Landfill,7649.52,2,North Point Landfill,23.325512,72.611679,48847.34,2019
Patna,Organic,21.91,58.85,14580.41,9,Composting,1177.3,11,North Point Landfill,22.799569,73.01228,70929.46,2020
Indore,E-Waste,29.46,49.39,22003.21,7,Composting,2132.29,5,North Point Landfill,22.864347,72.945275,16324.54,2022
Chennai,E-Waste,2.56,45.26,6440.58,5,Incineration,3555.89,5,North Point Landfill,13.403188,80.597041,298120.23,2021
Kanpur,Organic,14.84,70.58,9474.47,8,Composting,943.52,7,Metro Waste Site,23.126859,72.835092,266466.67,2019
Bangalore,Plastic,15.57,42.51,6442.54,7,Composting,1844.06,8,Central Landfill,12.497409,77.647891,265020.21,2019
Kanpur,Organic,34.12,53.99,24869.97,9,Landfill,1053.6,4,South City Dump,22.768347,72.42954,494857.61,2023
Patna,Hazardous,16.54,42.51,17423.54,9,Landfill,3030.62,6,West Side Facility,22.857872,72.248482,58227.85,2022
Kanpur,Construction,25.32,60.72,23961.29,8,Landfill,1441.57,12,Metro Waste Site,23.153217,72.811083,310015.13,2021
Jaipur,E-Waste,3.94,54.66,1400.22,3,Recycling,3795.71,3,Central Landfill,23.214551,72.211387,213751.1,2020
Bhopal,Organic,19.99,52.13,14166.12,7,Incineration,1752.57,7,Central Landfill,23.461165,72.421254,129462.95,2023
Kanpur,Plastic,30.42,53.99,16741.68,7,Recycling,1356.28,5,West Side Facility,23.089891,72.867644,370162.34,2022
Patna,Hazardous,8.29,5.0,15642.59,1,Landfill,6445.78,0,South City Dump,23.018739,72.357026,369958.07,2023
Surat,Plastic,3.61,10.49,1574.71,2,Incineration,2581.45,3,East Zone Dump,23.419075,72.267694,21056.61,2021
Lucknow,E-Waste,46.07,34.58,21679.96,2,Recycling,4776.24,1,Central Landfill,22.791298,72.270045,130959.94,2020
Nagpur,Plastic,12.54,32.9,8353.97,6,Landfill,1919.82,5,East Zone Dump,23.127339,72.458851,433105.15,2019
Visakhapatnam,Organic,15.44,76.46,8411.25,10,Composting,1377.77,12,North Point Landfill,23.402252,72.120621,123229.62,2022
Lucknow,Organic,17.03,34.04,22537.26,5,Incineration,1682.42,6,West Side Facility,22.606225,72.45734,193234.1,2021
Bangalore,Plastic,14.2,51.5,22270.92,9,Recycling,1177.51,8,East Zone Dump,12.995007,78.016113,407918.03,2023
Delhi,Plastic,22.93,64.7,20805.07,9,Composting,926.65,8,West Side Facility,28.750024,77.528705,436944.47,2022
Bhopal,Hazardous,15.94,27.96,19842.01,4,Composting,5502.15,3,North Point Landfill,23.324896,72.932818,77277.02,2021
Pune,Hazardous,25.93,34.94,23857.28,5,Incineration,4788.7,7,Central Landfill,19.43568,73.337172,116679.13,2022
Chennai,E-Waste,3.24,62.67,3115.65,7,Composting,2907.33,12,Metro Waste Site,12.990478,80.65708,33126.38,2023
Jaipur,Plastic,43.87,27.03,24074.0,2,Composting,2381.1,1,East Zone Dump,22.533215,72.615657,488131.62,2023
Delhi,Plastic,6.76,40.42,9859.27,9,Incineration,1134.16,12,East Zone Dump,28.48097,76.648563,466103.8,2020
Kolkata,E-Waste,11.38,66.59,16859.16,6,Incineration,2656.48,7,West Side Facility,22.805459,88.740092,364164.45,2019
Mumbai,Construction,1.0,33.92,6564.19,1,Composting,4076.67,0,Metro Waste Site,18.61159,73.37203,124036.89,2020
Kolkata,Construction,6.13,81.74,2291.93,10,Recycling,1053.73,12,South City Dump,22.887672,88.741352,388859.92,2023
Patna,E-Waste,25.53,54.32,17118.11,10,Composting,1900.98,9,Central Landfill,22.789575,72.606061,430793.1,2019
Indore,Plastic,8.75,75.3,8821.15,10,Landfill,850.73,7,North Point Landfill,22.590687,72.258524,282219.29,2021
Indore,Hazardous,10.28,22.68,7992.67,3,Composting,6079.18,5,North Point Landfill,23.366815,72.987208,361787.02,2021
Chennai,Construction,13.19,87.07,7806.59,9,Incineration,1419.65,7,Central Landfill,13.09448,80.540143,468049.8,2020
Thane,E-Waste,39.17,69.5,22820.85,9,Composting,2058.43,11,Central Landfill,18.761962,73.328519,112849.84,2019
Ahmedabad,Construction,19.53,84.26,7262.05,10,Composting,1864.92,13,South City Dump,23.142741,72.549142,244297.87,2023
Bangalore,Construction,21.22,40.23,19431.28,3,Incineration,2745.18,2,West Side Facility,13.068067,77.908984,197240.51,2020
Lucknow,Organic,2.61,75.64,4174.45,10,Landfill,1032.19,11,Central Landfill,23.281811,72.784066,104648.4,2023
Visakhapatnam,Organic,15.96,51.52,12311.4,10,Incineration,667.01,7,West Side Facility,22.603081,72.218563,156008.85,2020
Ahmedabad,Plastic,11.33,41.72,3154.23,5,Incineration,1823.86,5,East Zone Dump,22.966271,72.353768,49667.33,2020
Hyderabad,Hazardous,15.28,58.49,22038.73,10,Landfill,2278.19,17,East Zone Dump,17.482429,78.867595,34306.9,2020
Bhopal,Construction,18.93,62.37,7169.5,5,Composting,2561.38,6,South City Dump,22.953358,72.383592,365304.47,2023
Lucknow,E-Waste,27.98,82.76,20111.22,10,Composting,1700.2,3,East Zone Dump,23.196256,72.52175,376991.94,2019
Bhopal,Construction,12.93,43.67,9567.58,4,Incineration,2925.56,5,Metro Waste Site,23.479635,72.498505,242799.17,2021
Delhi,E-Waste,33.47,8.96,22550.93,1,Landfill,5265.8,2,South City Dump,28.932216,77.202751,368312.79,2021
Thane,Construction,16.02,46.4,19473.92,4,Landfill,3080.04,2,Central Landfill,19.418107,72.991833,169654.05,2021
Jaipur,Plastic,8.35,26.15,5601.67,3,Landfill,2037.55,3,Metro Waste Site,22.734246,72.112897,167813.09,2023
Visakhapatnam,Construction,26.06,66.08,14433.87,8,Landfill,1551.17,8,North Point Landfill,22.57981,72.24599,356638.87,2022
Pune,E-Waste,37.13,72.97,18082.67,9,Composting,1777.65,10,South City Dump,19.012246,73.036007,224481.24,2023
Kolkata,Plastic,7.29,29.08,7642.1,5,Landfill,2258.49,6,North Point Landfill,22.122261,88.487419,40922.12,2021
Bangalore,Hazardous,29.17,45.38,8790.62,8,Recycling,2688.68,4,Metro Waste Site,12.976511,77.863347,40353.79,2019
Ahmedabad,Construction,5.08,55.42,14843.39,7,Recycling,1906.26,6,North Point Landfill,22.854927,72.386933,62245.57,2021
Kanpur,E-Waste,14.38,91.26,9803.16,10,Composting,2159.89,12,North Point Landfill,22.723964,72.336609,93182.01,2021
Delhi,E-Waste,2.22,33.92,3295.38,2,Incineration,4909.76,2,Central Landfill,29.056148,77.161718,262223.67,2019
Patna,Construction,1.0,45.11,3389.91,2,Incineration,3417.25,0,West Side Facility,23.104222,72.837747,209144.1,2023
Kolkata,E-Waste,20.97,43.46,22116.11,5,Recycling,3258.45,6,Central Landfill,22.4456,88.072937,350939.53,2021
Jaipur,Construction,17.54,73.85,23661.01,7,Landfill,1963.5,4,East Zone Dump,22.556931,72.517226,410161.07,2021
Patna,Construction,27.56,92.38,22245.73,9,Incineration,1443.79,14,Metro Waste Site,22.586295,72.458623,148555.07,2020
Visakhapatnam,Plastic,14.94,28.1,8307.77,4,Composting,2395.4,7,Metro Waste Site,22.655844,72.313944,152929.79,2023
Kanpur,Plastic,15.43,28.48,23183.43,4,Incineration,1888.06,2,West Side Facility,23.406843,72.223143,302925.93,2020
Pune,E-Waste,13.63,35.86,16953.74,6,Recycling,3251.55,10,North Point Landfill,19.051464,73.134628,347669.33,2020
Kolkata,Organic,33.73,5.0,21727.39,2,Incineration,2995.89,3,Central Landfill,22.12721,88.835745,261181.47,2019
Visakhapatnam,Hazardous,20.01,24.28,7981.04,2,Landfill,7048.99,2,Metro Waste Site,22.597801,72.447252,412066.88,2021
Kolkata,Hazardous,1.72,37.48,1171.41,10,Recycling,2400.74,8,North Point Landfill,22.594151,87.988547,481093.12,2020
Hyderabad,Hazardous,8.31,24.15,16261.86,5,Composting,4458.65,6,East Zone Dump,17.394656,78.895565,394743.04,2019
Indore,E-Waste,22.23,63.54,12697.75,8,Recycling,2555.36,12,Metro Waste Site,22.596835,72.186763,436143.85,2022
Jaipur,Construction,9.43,60.77,12333.43,7,Recycling,2256.74,9,East Zone Dump,23.389677,73.027243,125990.5,2021
Bhopal,Organic,17.56,64.62,22182.77,8,Composting,1753.55,10,West Side Facility,22.869459,72.503207,393072.11,2022
Jaipur,Construction,22.59,35.39,12620.15,3,Composting,3127.56,1,South City Dump,23.170798,72.582494,228303.73,2020
Pune,Hazardous,28.15,16.25,24207.24,2,Incineration,6024.71,3,East Zone Dump,18.838485,72.958915,361902.29,2019
Bhopal,E-Waste,3.97,33.46,3986.13,3,Landfill,4302.05,3,South City Dump,23.258973,72.123057,34154.3,2023
Chennai,E-Waste,19.12,21.35,10270.9,1,Recycling,5090.21,0,Central Landfill,13.346557,80.284782,391888.93,2021
Thane,Hazardous,20.97,63.28,13539.92,10,Composting,2498.8,9,East Zone Dump,19.390794,72.795092,161737.75,2019
Ahmedabad,Construction,44.12,46.92,23507.82,6,Landfill,2003.94,5,West Side Facility,22.933644,72.775431,116551.94,2022
Delhi,Construction,16.51,77.06,9800.29,8,Incineration,2145.12,5,South City Dump,28.848585,76.785365,123877.98,2020
Nagpur,Plastic,3.45,30.9,16255.17,2,Recycling,2277.0,3,West Side Facility,22.968826,72.798419,349530.91,2019
Lucknow,Plastic,21.92,76.86,24696.84,9,Incineration,807.11,4,Metro Waste Site,22.696657,72.618281,360085.25,2020
Kolkata,Plastic,1.2,56.71,11671.06,7,Composting,1345.08,5,West Side Facility,22.376724,88.485006,157882.03,2020
Bhopal,Construction,20.33,55.11,22593.83,4,Landfill,2681.01,1,South City Dump,23.161463,72.152847,223157.15,2019
Mumbai,E-Waste,17.69,73.01,8023.72,10,Recycling,1531.94,10,East Zone Dump,19.242935,72.644844,456225.85,2023
Visakhapatnam,Construction,16.63,58.83,11456.13,7,Incineration,1958.13,9,Central Landfill,23.520172,72.334951,146773.93,2020
Jaipur,Plastic,43.53,7.42,23336.13,1,Recycling,2382.32,0,Central Landfill,22.544146,72.163178,343667.11,2022
Thane,Plastic,33.11,25.17,22103.79,3,Composting,1990.94,1,Central Landfill,19.168696,73.202735,430581.91,2023
Patna,Plastic,25.05,46.71,12126.93,6,Recycling,1215.13,6,Metro Waste Site,23.237822,72.339543,164677.56,2020
Jaipur,Construction,4.22,38.72,4006.03,1,Incineration,3638.61,2,Central Landfill,23.095261,72.208627,469454.12,2020
Indore,Organic,14.38,22.3,9446.31,1,Landfill,3004.07,0,Metro Waste Site,23.366229,72.509444,177773.61,2023
Kanpur,Plastic,26.21,61.0,14115.43,10,Landfill,1172.3,9,South City Dump,23.047945,72.180891,109398.09,2022
Bhopal,Plastic,24.94,64.92,24959.65,9,Composting,1619.58,10,Metro Waste Site,22.706601,72.17705,408296.98,2021
Surat,Plastic,25.83,42.71,14890.16,6,Landfill,1790.09,3,West Side Facility,22.555512,73.025337,112859.84,2021
Ahmedabad,Plastic,25.53,50.44,19934.25,7,Incineration,1596.48,7,South City Dump,22.67926,72.754829,300905.46,2020
Delhi,E-Waste,34.9,43.9,19115.86,3,Incineration,4255.08,3,South City Dump,28.749769,77.286475,103211.69,2020
Thane,Construction,9.54,83.04,13501.26,8,Recycling,1268.44,8,Metro Waste Site,18.812849,72.542634,71061.38,2020
Bangalore,Construction,20.0,47.06,9781.58,2,Incineration,3364.07,4,Central Landfill,13.163378,77.768894,490178.17,2020
Delhi,Organic,14.45,51.08,24654.42,7,Incineration,1379.59,7,Central Landfill,28.653375,77.542997,476888.85,2021
Visakhapatnam,Construction,5.29,41.34,6743.97,1,Composting,4057.95,0,South City Dump,23.241888,72.099522,193907.46,2021
Delhi,Organic,14.52,67.13,16042.08,9,Incineration,1256.82,4,West Side Facility,29.009596,76.679296,212715.96,2019
Lucknow,E-Waste,39.66,37.15,17293.3,4,Incineration,3808.02,3,Central Landfill,22.610897,72.413626,490877.83,2022
Nagpur,Construction,20.94,93.22,16112.41,9,Incineration,1823.04,10,North Point Landfill,23.104737,72.371274,26857.57,2020
Bhopal,Construction,20.75,88.21,16238.31,8,Incineration,2338.97,4,West Side Facility,23.396034,72.307875,113638.31,2019
Indore,Plastic,26.64,64.3,18664.85,8,Recycling,1139.24,8,North Point Landfill,23.273044,72.81782,81303.48,2023
Jaipur,E-Waste,20.53,33.25,22071.48,1,Landfill,5231.97,1,Central Landfill,22.7808,72.938412,337941.46,2021
Jaipur,E-Waste,2.9,18.26,11754.05,2,Composting,3830.3,4,North Point Landfill,23.108735,72.563767,104234.73,2020
Thane,E-Waste,24.55,71.93,12134.47,10,Landfill,2011.03,6,North Point Landfill,18.675146,73.000654,228968.36,2021
Indore,E-Waste,25.47,67.68,19671.64,9,Landfill,2280.21,9,Metro Waste Site,23.17053,72.316854,361605.08,2019
Nagpur,E-Waste,10.54,31.17,19643.71,2,Recycling,4733.89,4,South City Dump,22.729298,72.996465,189395.43,2019
Kolkata,Hazardous,1.0,22.68,3487.28,3,Composting,6158.07,1,Metro Waste Site,22.862683,88.480191,31981.67,2019
Kolkata,Plastic,24.66,59.34,15941.13,10,Incineration,976.73,10,East Zone Dump,22.15327,88.536248,347698.89,2021
Nagpur,Hazardous,16.35,27.44,9195.27,3,Recycling,5833.47,3,Central Landfill,22.672409,72.608981,292138.31,2022
Kanpur,E-Waste,33.71,69.68,16483.6,5,Landfill,3636.67,8,North Point Landfill,22.845943,72.890634,272897.55,2023
Kolkata,Hazardous,27.95,16.75,21638.58,3,Composting,6166.93,1,West Side Facility,22.325799,88.667593,410732.82,2021
Surat,Organic,26.19,46.26,24494.74,5,Landfill,1739.52,4,Central Landfill,22.785195,72.946166,73162.27,2020
Bhopal,Hazardous,26.72,8.24,18279.92,2,Landfill,6716.57,2,North Point Landfill,23.396178,72.198202,434631.89,2021
Surat,Construction,19.88,63.45,15245.81,7,Incineration,2084.55,13,East Zone Dump,23.014428,72.644173,126785.23,2022
Pune,Plastic,21.03,40.12,20054.92,5,Landfill,1906.82,5,East Zone Dump,18.658011,72.676193,339457.31,2022
Hyderabad,Construction,1.0,39.46,8890.24,1,Incineration,3707.31,0,Central Landfill,17.374279,78.27279,364156.65,2021
Bangalore,Hazardous,29.68,19.06,23687.37,2,Incineration,6788.72,2,South City Dump,12.660586,77.376397,141088.24,2021
Hyderabad,Organic,8.07,45.78,13460.97,4,Recycling,1687.65,5,West Side Facility,16.998646,77.990618,499735.73,2019
Pune,Organic,27.28,45.75,20254.57,7,Composting,1372.37,4,East Zone Dump,18.678332,72.788199,467264.53,2019
Kanpur,Hazardous,23.09,57.22,16297.66,10,Incineration,2596.41,5,South City Dump,22.926126,73.064978,95693.13,2022
Patna,Organic,7.47,32.91,17143.46,3,Landfill,2684.64,2,South City Dump,22.823676,72.320377,192430.48,2019
Jaipur,Construction,5.23,77.94,7111.93,8,Composting,2743.06,6,Metro Waste Site,23.492617,72.093382,403321.73,2023
Indore,Construction,19.44,40.56,19912.84,3,Landfill,3411.48,4,South City Dump,23.311445,72.753185,445488.72,2020
Lucknow,Plastic,21.43,32.13,17620.34,4,Composting,1787.02,3,North Point Landfill,22.889222,72.177205,317821.23,2023
Kanpur,Organic,1.0,5.65,3912.93,4,Recycling,2726.44,0,South City Dump,23.023663,72.455172,486318.87,2020
Indore,Hazardous,9.17,40.21,4819.82,8,Landfill,3676.22,6,Central Landfill,22.540581,72.47173,279439.69,2023
Kolkata,E-Waste,31.03,54.28,15869.98,5,Recycling,3907.84,4,East Zone Dump,22.936157,88.204848,450761.25,2021
Ahmedabad,E-Waste,45.04,28.04,23581.12,2,Incineration,4302.28,2,South City Dump,23.349368,72.634055,383471.88,2019
Surat,Organic,25.08,17.8,18126.58,1,Incineration,2516.24,0,Metro Waste Site,22.825445,72.815997,482571.77,2020
Jaipur,Hazardous,31.22,37.48,18228.89,6,Landfill,4218.16,8,South City Dump,23.331299,72.433168,266884.81,2023
Hyderabad,Hazardous,22.92,32.24,17097.46,9,Recycling,3184.22,8,South City Dump,17.567599,78.858189,126368.16,2020
Lucknow,Hazardous,17.78,29.93,24494.07,6,Landfill,4939.67,10,Central Landfill,23.521836,72.246734,14956.07,2019
Delhi,Hazardous,6.21,27.85,4571.41,7,Recycling,4612.65,7,West Side Facility,28.56087,76.76677,256822.52,2023
Indore,Hazardous,24.74,38.99,20924.87,5,Landfill,5069.75,2,Metro Waste Site,22.982115,72.699904,283053.4,2022
Patna,E-Waste,37.44,56.86,18823.26,5,Incineration,3856.66,7,Metro Waste Site,23.07128,72.867686,295703.17,2022
Ahmedabad,Construction,30.56,38.16,24045.23,3,Composting,2883.97,1,West Side Facility,22.648116,72.382407,444101.84,2019
Delhi,Organic,35.54,52.41,19598.28,7,Composting,1686.76,5,North Point Landfill,28.472387,77.193305,363510.09,2022
Thane,Organic,30.12,54.5,23590.69,8,Recycling,1543.35,10,West Side Facility,19.17992,72.427294,56393.69,2021
Lucknow,E-Waste,2.69,41.73,1788.56,7,Recycling,3391.23,5,North Point Landfill,23.333966,72.12676,273679.29,2021
Visakhapatnam,Hazardous,9.59,15.49,2693.2,1,Incineration,7009.75,0,Central Landfill,23.050678,72.198273,300321.8,2020
Thane,Plastic,17.98,31.94,12579.83,3,Composting,2235.42,3,West Side Facility,18.641798,73.083685,126722.62,2020
Kolkata,Plastic,5.9,32.77,10328.19,5,Incineration,1804.91,2,Central Landfill,22.157366,88.671526,388021.94,2022
Indore,Organic,26.55,61.67,22963.33,7,Incineration,1516.86,5,East Zone Dump,23.059583,72.808619,317383.93,2023
Lucknow,Organic,5.27,66.09,12320.77,7,Composting,1872.39,2,East Zone Dump,22.772859,72.740715,445253.38,2023
Thane,Construction,17.89,38.94,12038.61,3,Composting,3329.03,5,West Side Facility,19.326272,72.694989,247019.78,2019
Bangalore,Construction,8.84,47.29,8070.48,3,Composting,2890.16,2,South City Dump,12.827794,77.791613,284456.83,2020
Pune,Hazardous,11.02,40.44,10275.1,9,Landfill,2945.63,14,West Side Facility,18.825888,72.73395,96835.38,2019
Jaipur,Construction,27.27,44.76,17682.88,3,Composting,3199.17,5,South City Dump,22.639248,72.200465,273060.98,2021
Patna,Plastic,41.58,53.79,23477.69,7,Composting,1447.9,6,Central Landfill,23.063327,72.889761,94122.32,2020
Surat,E-Waste,39.4,71.22,20387.95,10,Incineration,1777.07,11,North Point Landfill,22.929577,72.749082,121099.77,2019
Nagpur,Plastic,24.68,46.03,15447.55,6,Recycling,1740.97,6,South City Dump,22.76187,72.489369,133084.08,2021
Patna,E-Waste,3.84,83.91,8693.62,10,Composting,2179.59,8,Central Landfill,23.45514,72.465951,398419.36,2023
Thane,Hazardous,10.79,45.35,7699.46,8,Landfill,3790.43,8,West Side Facility,18.948657,72.72941,276307.37,2020
Chennai,Construction,7.4,86.03,2745.67,10,Incineration,1546.82,9,West Side Facility,12.877401,80.341913,375244.89,2023
Kanpur,Organic,17.32,62.58,10094.94,9,Composting,1449.55,6,East Zone Dump,22.535078,72.225363,355624.62,2023
Delhi,Plastic,16.5,33.19,6847.33,5,Recycling,2338.9,1,Central Landfill,28.215113,77.019136,85954.25,2021
Bhopal,Hazardous,13.78,44.9,16946.82,9,Recycling,2945.22,15,North Point Landfill,22.700058,72.986567,237950.66,2023
Visakhapatnam,Organic,1.0,20.48,2516.52,1,Incineration,2930.52,0,West Side Facility,22.635341,72.941425,321691.76,2020
Nagpur,Hazardous,3.08,24.45,4953.54,3,Incineration,5992.55,1,Metro Waste Site,23.0044,72.574534,164808.55,2023
Lucknow,Hazardous,20.86,64.78,18501.77,10,Composting,2168.32,7,South City Dump,22.621185,72.651205,317653.27,2023
Jaipur,Construction,20.05,23.59,9765.47,1,Incineration,3302.32,1,Central Landfill,22.535322,72.866944,243801.72,2021
Chennai,Construction,6.13,61.44,4141.15,4,Incineration,3085.88,1,South City Dump,13.100299,79.895134,481475.98,2019
Bhopal,E-Waste,9.15,29.47,7958.19,2,Recycling,4370.96,1,Metro Waste Site,23.490522,72.986149,91805.59,2019
Bhopal,Organic,9.71,60.85,3907.73,10,Composting,500.0,14,South City Dump,22.908599,72.761224,305196.14,2020
Ahmedabad,Plastic,7.63,44.37,3573.92,9,Landfill,1293.45,10,South City Dump,22.713606,72.840164,140137.92,2020
Mumbai,Construction,17.69,66.03,19413.6,9,Composting,1541.51,11,West Side Facility,19.434842,73.006573,383795.47,2020
Indore,Organic,22.54,51.57,19366.49,6,Composting,2155.2,5,North Point Landfill,22.901866,72.982234,311520.44,2019
Kolkata,Hazardous,20.01,39.83,10886.72,5,Incineration,4557.81,5,East Zone Dump,22.518292,87.91325,288973.97,2022
Visakhapatnam,Construction,5.79,60.57,10185.5,6,Recycling,2343.69,4,West Side Facility,23.495867,72.861968,129043.23,2022
Patna,E-Waste,9.23,51.9,22800.77,4,Incineration,4315.25,6,South City Dump,23.365055,72.433582,333630.16,2021
Bhopal,Organic,12.73,46.5,12299.59,4,Incineration,2319.91,3,East Zone Dump,22.654969,72.743683,259259.05,2023
Jaipur,Organic,29.66,68.18,18306.95,9,Incineration,834.24,6,West Side Facility,23.189537,72.982977,179353.88,2020
Bhopal,E-Waste,11.9,66.99,15916.18,9,Incineration,2527.18,2,North Point Landfill,22.763744,72.279632,132736.64,2023
Surat,E-Waste,32.43,47.85,20341.74,7,Composting,3009.61,4,Central Landfill,22.53192,72.880193,137105.87,2022
Kanpur,Organic,36.32,18.99,16267.21,2,Landfill,2793.05,2,West Side Facility,23.455271,72.149727,347227.27,2021
Bangalore,E-Waste,20.24,22.94,19840.16,1,Incineration,4515.77,2,North Point Landfill,13.027512,77.498576,235457.42,2022
Pune,Organic,1.0,43.92,1364.18,8,Incineration,1218.56,3,South City Dump,19.548962,72.599151,404748.06,2023
Surat,Organic,1.0,36.21,2398.61,1,Recycling,2606.7,1,Central Landfill,23.176494,72.689985,161825.09,2020
Delhi,Hazardous,1.0,49.17,3059.06,9,Recycling,2734.65,5,East Zone Dump,28.405499,77.561524,310566.9,2019
Chennai,Construction,6.38,60.72,7280.11,7,Composting,2205.63,7,West Side Facility,13.490163,79.893181,271677.7,2019
Kolkata,Plastic,14.89,66.18,22107.1,10,Recycling,768.58,15,South City Dump,22.599747,88.627863,12488.62,2022
Bhopal,Construction,49.81,84.06,23026.21,9,Recycling,2323.04,8,Metro Waste Site,22.803028,72.891869,296316.67,2021
Lucknow,E-Waste,7.8,48.85,13204.66,6,Landfill,3710.45,6,Metro Waste Site,22.764265,72.554414,444547.45,2019
Ahmedabad,Hazardous,7.75,57.61,10080.34,10,Landfill,2502.21,7,Metro Waste Site,23.302584,72.842625,121769.19,2020
Indore,Organic,17.36,36.97,23133.36,2,Composting,3221.01,2,Central Landfill,23.335233,72.61316,74229.13,2022
Hyderabad,E-Waste,21.33,78.96,19387.77,8,Landfill,2494.64,10,Central Landfill,16.986164,77.998033,278830.81,2021
